79.3599,23.5043,96.6089,37.8097
97.7105,76.0359,94.1356,84.1232
95.0646,80.5773,92.5321,86.1419
91.7591,64.7032,95.3041,77.0775
98.5821,76.1694,91.2094,83.0137
98.4697,85.2423,87.3041,86.2609
82.7505,27.4423,91.0250,42.1708
91.3141,60.6835,94.1097,73.7876
98.4289,72.8954,91.9037,81.3033
96.1933,70.2920,92.8812,80.0230
95.9925,73.4466,87.0450,79.6697
94.4648,67.5882,91.3431,77.6904
83.5820,70.6472,34.0229,45.9276
90.0911,65.9082,68.3004,67.0830
97.3527,77.5644,95.6199,85.6509
98.2736,79.9701,94.9495,86.8184
97.8719,87.5814,84.0034,85.7551
95.4131,74.1443,72.9707,73.5528
